timestamp,jackpot_meter,color,10m,1h,3h,6h
2025-07-25 06:24:50 AM,79.37,red,63.9,62.1,56.3,8.98
2025-07-28 08:06:00 AM,62.06,red,-15.33,-7.14,6.52,19.16
2025-07-28 08:07:00 AM,62.04,red,26.34,-17.83,-2.81,11.88
2025-07-28 08:08:08 AM,62.02,red,41.93,37.17,0.1,26.23
2025-07-28 08:09:08 AM,62.0,red,-16.03,-33.44,-0.26,22.0
2025-07-28 08:10:09 AM,62.03,red,47.79,-33.1,-25.93,23.58
2025-07-28 08:11:09 AM,62.06,red,5.0,2.98,-15.65,-14.38
2025-07-28 08:14:40 AM,62.19,red,26.7,53.03,11.95,-22.85
2025-07-28 08:15:00 AM,62.17,red,25.03,-27.36,9.8,-26.84
2025-07-28 08:16:00 AM,62.15,red,-18.79,61.72,-24.31,56.15
2025-07-28 08:17:08 AM,62.13,red,-1.59,57.47,7.6,-4.65
2025-07-28 08:18:08 AM,62.11,red,0.85,49.6,49.3,26.17
2025-07-28 08:19:09 AM,62.09,red,53.1,26.43,16.25,-0.46
2025-07-28 08:20:09 AM,62.13,red,43.52,47.61,34.65,-10.47
2025-07-28 08:21:10 AM,62.17,red,15.1,50.52,61.18,60.44
2025-07-28 08:22:00 AM,62.21,red,40.31,-36.04,35.5,53.94
2025-07-28 08:23:00 AM,62.25,red,-31.61,18.4,21.56,-2.06
2025-07-28 08:24:08 AM,62.29,red,-33.74,33.79,-17.16,41.2
2025-07-28 08:25:08 AM,62.34,red,61.12,52.39,41.97,44.87
2025-07-28 08:26:09 AM,62.38,red,36.53,-24.26,-37.24,-0.84
2025-07-28 08:27:09 AM,62.42,red,47.51,7.63,-9.85,-4.55
2025-07-28 08:27:40 AM,62.42,red,47.51,7.63,-9.85,-4.55
2025-07-28 08:28:00 AM,62.46,red,59.43,-6.56,-17.43,-5.9
2025-07-28 08:29:00 AM,62.5,red,59.27,28.02,43.29,35.34
2025-07-28 08:30:08 AM,62.55,red,28.26,27.01,11.68,-36.16
2025-07-28 08:31:08 AM,62.58,red,-25.17,-13.14,-11.98,56.22
2025-07-28 08:36:58 AM,62.74,red,-35.8,15.29,60.79,10.29
2025-07-28 08:37:18 AM,62.75,red,45.12,45.21,-3.73,31.31
2025-07-28 08:38:00 AM,62.76,red,26.05,42.74,1.38,15.47
2025-07-28 08:39:00 AM,62.78,red,10.97,5.9,57.38,42.72
2025-07-28 08:43:20 AM,62.7,red,24.58,21.75,28.68,35.54
2025-07-28 08:44:00 AM,62.68,red,11.48,55.05,-2.75,9.75
2025-07-28 08:45:01 AM,62.66,red,56.71,-17.01,5.17,20.59
2025-07-28 08:46:09 AM,62.65,red,23.74,-34.93,-12.74,48.58
2025-07-28 08:47:09 AM,62.68,red,38.01,-22.36,37.98,45.34
2025-07-28 08:48:09 AM,62.71,red,-34.65,2.09,56.72,32.76
2025-07-28 08:49:09 AM,62.72,red,55.42,-18.01,19.7,25.93
2025-07-28 08:50:10 AM,62.72,red,20.1,27.66,13.17,4.97
2025-07-28 08:51:48 AM,62.7,red,49.11,27.92,45.27,-28.77
2025-07-28 08:52:08 AM,62.68,red,-23.3,31.66,39.71,10.58
2025-07-28 08:53:08 AM,62.66,red,-18.78,-18.69,42.24,-5.29
2025-07-28 08:54:09 AM,62.64,red,-34.9,-29.01,-18.13,-27.76
2025-07-28 08:55:09 AM,62.68,red,-34.11,-4.7,10.48,-2.14
2025-07-28 08:57:48 AM,62.72,red,55.1,-5.49,38.81,58.71
2025-07-28 08:58:08 AM,62.73,red,50.2,7.86,28.43,60.87
2025-07-28 09:01:30 AM,62.83,red,23.34,-14.43,62.55,44.63
2025-07-28 09:02:10 AM,62.86,red,14.52,-30.1,15.95,3.19
2025-07-28 09:03:00 AM,62.89,red,9.02,-3.96,-28.05,-19.76
2025-07-28 09:04:01 AM,62.91,red,50.9,-6.85,35.96,-11.72
2025-07-28 09:05:08 AM,62.94,red,4.96,-5.61,-19.43,15.33
2025-07-28 09:06:08 AM,62.92,red,14.21,49.53,-28.37,31.61
2025-07-28 09:07:09 AM,62.9,red,5.88,39.31,21.24,3.78
2025-07-28 09:08:00 AM,62.88,red,41.27,53.36,57.31,-1.05
2025-07-28 09:09:00 AM,62.86,red,-7.51,14.6,2.37,-0.86
2025-07-28 09:10:00 AM,62.91,red,10.33,15.07,40.09,9.76
2025-07-28 09:19:30 AM,62.99,red,55.53,11.41,17.95,-6.72
2025-07-28 09:20:10 AM,63.0,red,-32.92,60.71,9.72,-13.19
2025-07-28 09:21:00 AM,63.04,red,3.6,36.64,-35.48,-23.65
2025-07-28 09:23:00 AM,63.06,red,54.7,20.77,-8.11,30.2
2025-07-28 09:24:00 AM,63.07,red,28.2,24.03,5.2,18.33
2025-07-28 09:25:58 AM,63.05,red,-33.76,34.27,-18.25,4.74
2025-07-28 09:26:18 AM,63.03,red,-26.43,15.69,25.32,9.76
2025-07-28 09:27:00 AM,63.01,red,11.13,42.37,33.8,60.1
2025-07-28 09:28:00 AM,62.99,red,44.74,-36.56,36.81,51.09
2025-07-28 09:29:08 AM,62.97,red,-3.58,55.26,22.44,35.85
2025-07-28 09:30:08 AM,63.02,red,60.09,16.5,16.09,43.86
2025-07-28 09:33:30 AM,63.11,red,-20.08,-31.73,55.16,41.45
2025-07-28 09:34:10 AM,63.15,red,-25.37,47.17,7.25,-3.58
2025-07-28 09:35:00 AM,63.18,red,-35.87,21.08,26.25,27.82
2025-07-28 09:36:00 AM,63.19,red,-25.93,54.02,-36.21,-27.64
2025-07-28 09:37:08 AM,63.24,red,56.46,-15.34,7.63,61.11
2025-07-28 09:38:08 AM,63.29,red,42.4,22.4,-3.46,31.43
2025-07-28 09:40:28 AM,63.33,red,49.85,-18.11,6.76,-15.74
2025-07-28 09:41:08 AM,63.36,red,36.67,-23.16,-10.46,43.23
2025-07-28 09:42:08 AM,63.38,red,10.57,59.12,-30.5,-3.66
2025-07-28 09:43:09 AM,63.37,red,-32.38,32.97,-12.4,-6.94
2025-07-28 09:44:18 AM,63.36,red,9.29,47.01,-17.12,22.58
2025-07-28 09:45:22 AM,63.36,red,-22.73,41.56,7.23,38.56
2025-07-28 09:46:09 AM,63.34,red,-20.83,52.83,25.37,3.06
2025-07-28 09:47:38 AM,63.32,red,-16.07,-13.2,41.25,36.1
2025-07-28 09:48:18 AM,63.3,red,-3.13,-3.95,-26.57,14.78
2025-07-28 09:49:00 AM,63.28,red,-35.79,26.16,8.59,-11.41
2025-07-28 09:50:00 AM,63.26,red,53.45,8.68,15.09,24.18
2025-07-28 09:51:08 AM,63.24,red,47.55,52.78,-4.18,-5.91
2025-07-28 09:52:00 AM,63.22,red,-29.27,-8.85,-33.06,-20.54
2025-07-28 09:53:00 AM,63.2,red,43.36,-24.35,56.7,30.45
2025-07-28 09:54:08 AM,63.18,red,39.4,14.91,31.04,55.08
2025-07-28 09:55:09 AM,63.16,red,-16.89,60.76,33.42,-9.13
2025-07-28 09:56:09 AM,63.14,red,59.5,5.71,25.39,20.64
2025-07-28 09:57:00 AM,63.12,red,21.95,54.2,-31.2,43.33
2025-07-28 09:58:00 AM,63.1,red,-13.38,-12.75,51.43,-18.01
2025-07-28 09:59:01 AM,63.08,red,21.31,31.87,49.7,10.91
2025-07-28 10:00:08 AM,63.12,red,44.89,2.19,49.91,19.43
2025-07-28 10:01:08 AM,63.15,red,56.8,32.83,-14.97,55.99
2025-07-28 07:39:20 PM,67.56,red,44.58,10.02,51.74,34.81
2025-07-28 07:40:00 PM,67.54,red,-32.34,-19.46,-7.8,-15.84
2025-07-28 07:41:11 PM,67.52,red,63.97,29.36,40.88,-3.79
2025-07-28 07:42:00 PM,67.5,red,56.89,0.89,-29.0,-25.76
2025-07-28 07:43:01 PM,67.48,red,55.64,7.96,32.4,45.25
2025-07-28 07:44:10 PM,67.46,red,27.28,-5.44,19.17,13.41
2025-07-28 07:45:11 PM,67.44,red,-7.12,-0.91,37.39,17.12
2025-07-28 07:46:01 PM,67.42,red,45.69,40.04,-17.52,-4.12
2025-07-28 07:47:00 PM,67.4,red,-28.4,63.85,66.6,19.97
2025-07-28 07:48:08 PM,67.38,red,31.38,36.6,57.8,6.09
2025-07-28 07:49:09 PM,67.36,red,-8.78,-5.72,52.0,-5.36
2025-07-28 07:50:10 PM,67.39,red,26.64,-23.41,26.68,25.64
2025-07-28 07:51:01 PM,67.43,red,24.94,57.54,-26.69,17.33
2025-07-28 07:52:10 PM,67.46,red,4.09,62.57,6.16,26.17
2025-07-28 07:53:01 PM,67.5,red,51.07,60.57,-12.76,-1.41
2025-07-28 07:54:00 PM,67.53,red,52.12,64.42,38.95,59.9
2025-07-28 07:55:00 PM,67.57,red,5.8,14.69,14.34,2.4
2025-07-28 07:56:08 PM,67.6,red,-25.42,61.64,-7.35,-22.67
2025-07-28 07:57:10 PM,67.64,red,35.45,-26.06,32.76,66.69
2025-07-28 07:58:00 PM,67.67,red,42.87,33.65,-30.59,37.27
2025-07-28 07:59:02 PM,67.71,red,-27.89,51.93,67.52,-12.51
2025-07-28 08:00:00 PM,67.7,red,12.6,-2.26,4.97,60.19
2025-07-28 08:00:09 PM,67.69,red,42.29,-30.47,46.51,11.32
2025-07-28 08:01:00 PM,67.67,red,8.17,20.09,46.23,2.02
2025-07-28 08:02:00 PM,67.65,red,55.93,11.3,14.67,-23.85
