timestamp,jackpot_meter,color,10m,1h,3h,6h
2025-08-02 09:20:08 PM,85.8,red,83.08,53.86,-7.22,9.47
2025-08-02 09:21:08 PM,85.83,red,69.26,-5.26,80.24,44.29
2025-08-02 09:22:09 PM,85.85,red,72.88,4.33,43.71,37.25
2025-08-02 09:23:10 PM,85.88,red,50.53,47.55,42.28,17.49
2025-08-02 09:24:09 PM,85.93,red,57.95,18.66,62.83,68.62
2025-08-02 09:25:10 PM,85.91,red,40.03,62.09,53.04,3.63
2025-08-02 09:26:10 PM,85.89,red,82.59,59.27,29.59,72.6
2025-08-25 02:01:58 AM,21.01,green,-37.4,-10.01,5.11,-46.6
2025-08-25 02:02:00 AM,20.56,red,-7.23,-74.23,-6.04,19.66
2025-08-25 02:02:11 AM,21.52,green,1.33,-25.6,-21.3,-13.49
2025-08-25 02:02:21 AM,21.8,green,-0.71,-47.43,9.08,-36.21
2025-08-25 02:02:31 AM,23.35,green,-25.71,-18.51,-32.07,-54.05
2025-08-25 02:02:41 AM,24.75,green,2.28,-53.33,0.61,-30.97
2025-08-25 02:02:51 AM,24.7,red,-57.23,-1.83,1.98,-70.6
2025-08-25 02:03:01 AM,22.26,red,-36.52,10.98,14.56,19.97
2025-08-25 02:03:11 AM,21.04,red,-53.27,-42.02,-4.43,-4.7
2025-08-25 02:03:21 AM,19.74,red,-76.63,-32.99,-46.46,-62.62
2025-08-25 02:03:31 AM,17.97,red,-13.7,-58.51,-15.58,-22.45
2025-08-25 02:03:41 AM,17.3,red,-52.94,-14.28,-71.92,-14.23
2025-08-25 02:04:31 AM,11.4,red,-69.06,-25.07,-46.65,11.16
2025-08-25 02:41:49 AM,60.11,green,-25.37,47.22,9.49,-0.85
2025-08-25 02:41:50 AM,61.8,green,38.32,-32.4,-27.12,27.92
2025-08-25 02:42:01 AM,62.43,green,5.85,-18.39,29.74,4.77
2025-08-25 02:42:11 AM,64.64,green,2.9,54.76,-8.67,11.01
2025-08-25 02:42:21 AM,65.45,green,22.8,19.26,-7.85,31.95
2025-08-25 02:42:31 AM,67.29,green,65.58,-5.35,-7.33,4.92
2025-08-25 02:42:41 AM,69.68,green,23.7,18.93,39.2,24.8
2025-08-25 02:42:51 AM,71.15,green,25.9,10.84,29.83,63.65
2025-08-25 02:43:01 AM,72.3,green,54.43,-27.02,-21.76,8.6
2025-08-25 02:43:11 AM,72.93,green,-22.57,63.46,-21.07,51.99
2025-08-25 02:43:21 AM,74.36,green,0.65,20.86,20.76,13.69
2025-08-25 02:43:31 AM,75.77,green,57.12,-1.14,-5.87,70.64
2025-08-25 02:43:41 AM,76.33,green,20.49,42.4,23.63,69.17
2025-08-25 02:43:51 AM,77.48,green,20.18,37.6,38.73,15.28
2025-08-25 02:44:01 AM,78.08,green,61.36,18.3,0.17,9.46
2025-08-25 02:44:11 AM,80.5,green,76.89,-9.55,41.06,38.16
2025-08-25 02:44:21 AM,82.41,green,17.9,21.43,16.7,-9.62
2025-08-25 02:44:31 AM,83.47,green,16.49,75.76,20.32,44.56
2025-08-25 02:44:41 AM,84.06,green,21.68,70.73,64.07,-13.8
2025-08-25 02:44:51 AM,84.86,green,80.89,31.61,-0.08,13.61
2025-08-25 02:45:01 AM,86.86,green,63.92,27.29,43.88,34.15
2025-08-25 02:45:11 AM,88.29,green,27.45,85.04,32.92,87.88
2025-08-25 02:45:21 AM,89.5,green,85.05,31.87,22.49,13.49
2025-08-25 02:45:31 AM,91.41,green,51.83,88.2,8.08,6.99
2025-08-25 02:45:41 AM,92.32,green,18.84,43.58,27.4,78.3
2025-08-25 02:45:51 AM,93.42,green,6.57,26.49,29.4,73.45
2025-08-25 02:46:01 AM,94.63,green,33.92,48.89,25.58,24.02
2025-08-25 02:46:11 AM,95.28,green,61.28,64.17,9.42,34.97
2025-08-25 02:46:21 AM,96.77,green,19.07,86.01,82.37,71.72
2025-08-25 02:46:31 AM,98.03,green,7.91,54.24,65.41,13.29
2025-08-25 02:46:41 AM,98.68,green,42.82,82.12,11.13,64.92
2025-08-25 02:46:51 AM,100,green,77.97,69.15,61.0,36.59
