timestamp,jackpot_meter,color,10m,1h,3h,6h
2025-07-30 10:18:59 AM,41.57,red,-31.84,-42.9,-41.74,-9.57
2025-07-30 10:19:08 AM,41.61,red,-34.6,-26.03,-52.07,-7.25
2025-07-31 03:34:50 AM,48.22,red,-20.96,4.73,-4.77,42.58
2025-07-31 03:35:10 AM,48.2,red,-5.09,-4.41,-25.96,-25.14
2025-07-31 03:36:00 AM,48.18,red,-11.48,-44.24,47.72,4.16
2025-07-31 03:37:00 AM,48.16,red,17.21,-43.46,16.53,-15.4
2025-07-31 03:38:00 AM,48.14,red,-41.92,-9.9,32.72,39.08
2025-07-31 03:39:01 AM,48.12,red,40.63,-29.51,1.02,9.92
2025-07-31 03:40:08 AM,48.1,red,-11.46,21.32,47.61,-18.02
2025-07-31 03:41:08 AM,48.1,red,9.94,-21.56,-48.23,-18.23
2025-07-31 10:05:18 PM,56.1,red,-36.87,-15.56,13.91,-26.16
2025-07-31 10:06:00 PM,56.15,red,-7.72,-1.66,50.33,-33.64
2025-07-31 10:07:00 PM,56.17,red,36.63,23.95,52.94,48.98
2025-07-31 10:07:08 PM,56.16,red,22.11,-16.11,-21.23,19.9
2025-07-31 10:08:10 PM,56.18,red,15.09,-1.37,48.52,56.08
2025-07-31 10:10:39 PM,56.2,red,0.82,-23.36,17.39,-1.77
2025-07-31 10:11:00 PM,56.18,red,19.96,8.76,-29.6,55.86
2025-07-31 10:12:09 PM,56.16,red,-18.34,39.61,52.77,43.26
2025-07-31 10:13:00 PM,56.14,red,36.32,1.31,37.11,-15.59
2025-07-31 10:13:08 PM,56.16,red,-18.34,39.61,52.77,43.26
2025-07-31 10:13:11 PM,56.14,red,36.32,1.31,37.11,-15.59
2025-07-31 10:14:00 PM,56.12,red,12.5,20.62,18.72,0.6
2025-07-31 10:15:08 PM,56.1,red,-24.13,51.25,-9.09,-1.11
2025-07-31 10:16:09 PM,56.08,red,35.33,1.94,17.87,39.52
2025-07-31 10:17:09 PM,56.06,red,11.14,22.29,55.15,-18.94
2025-07-31 10:18:00 PM,56.04,red,-42.54,-40.7,20.38,-22.97
2025-07-31 10:19:09 PM,56.02,red,24.01,-25.32,31.7,31.99
2025-07-31 10:20:09 PM,56.0,red,28.85,29.65,-10.82,5.31
2025-07-31 10:21:09 PM,55.98,red,48.02,-15.79,-18.23,-5.12
2025-07-31 10:22:08 PM,55.96,red,-12.22,46.04,-16.81,-5.87
2025-07-31 10:23:08 PM,55.94,red,20.22,11.04,54.19,-9.57
2025-07-31 10:24:09 PM,55.92,red,-28.96,36.86,4.83,-31.86
2025-07-31 10:25:09 PM,55.9,red,-16.65,-5.88,49.03,-43.09
2025-07-31 10:26:09 PM,55.88,red,-35.03,55.71,7.11,-37.34
2025-07-31 10:27:08 PM,55.86,red,-7.19,19.26,-37.37,24.6
2025-07-31 10:28:09 PM,55.84,red,49.45,-39.27,5.97,53.7
2025-07-31 10:29:10 PM,55.82,red,54.56,6.42,53.52,35.76
2025-07-31 10:30:10 PM,55.8,red,11.34,12.25,52.8,21.5
2025-07-31 10:31:10 PM,55.84,red,30.99,10.28,-16.9,40.69
2025-07-31 10:32:00 PM,55.87,red,-22.71,-23.83,-8.06,12.56
2025-07-31 10:33:08 PM,55.9,red,22.66,25.54,-35.59,-0.42
2025-07-31 10:34:08 PM,55.9,red,24.63,-30.53,10.84,-1.74
2025-07-31 10:35:18 PM,55.9,red,50.04,15.64,-2.11,-37.51
2025-07-31 10:36:18 PM,55.9,red,-37.47,6.66,31.43,53.06
2025-07-31 10:37:10 PM,55.93,red,21.89,-10.59,-33.1,28.43
2025-07-31 10:38:00 PM,55.93,red,-41.87,-26.73,-19.71,50.87
2025-07-31 10:39:08 PM,55.91,red,-30.71,22.2,-41.76,29.49
2025-07-31 10:40:10 PM,55.94,red,-22.09,42.81,43.09,-26.46
2025-07-31 10:41:21 PM,55.98,red,35.9,-30.45,-14.85,7.76
2025-07-31 10:42:08 PM,56.03,red,-36.37,45.57,-16.81,36.21
2025-07-31 10:43:08 PM,56.08,red,-25.86,-15.76,40.26,-42.63
2025-07-31 10:44:09 PM,56.11,red,-22.24,38.56,54.72,30.26
2025-07-31 10:45:01 PM,56.15,red,-15.68,51.98,-14.02,25.99
2025-07-31 10:46:09 PM,56.19,red,-1.39,-32.88,25.29,44.34
2025-07-31 10:47:00 PM,56.24,red,-25.71,8.62,-27.56,24.56
2025-07-31 10:48:08 PM,56.28,red,41.72,-41.08,35.74,48.03
2025-07-31 10:49:09 PM,56.33,red,-34.94,-12.66,48.14,54.98
2025-07-31 10:50:09 PM,56.31,red,-11.66,-4.35,22.29,-26.11
2025-07-31 10:50:30 PM,56.31,red,-11.66,-4.35,22.29,-26.11
2025-07-31 10:51:18 PM,56.29,red,41.71,-29.54,-17.35,1.49
2025-07-31 10:52:00 PM,56.27,red,-5.39,9.52,3.43,20.78
2025-07-31 10:53:18 PM,56.25,red,-34.43,-37.92,36.63,51.88
2025-07-31 10:54:18 PM,56.23,red,-26.52,53.26,7.99,-43.14
2025-07-31 10:55:00 PM,56.26,red,-21.08,39.71,0.48,1.1
2025-07-31 10:56:00 PM,56.3,red,22.76,3.7,21.34,-6.49
2025-08-01 01:17:38 AM,57.34,red,23.85,25.31,21.28,27.7
2025-08-01 01:18:18 AM,57.32,red,53.13,28.04,-10.51,-1.33
2025-08-01 01:19:18 AM,57.3,red,-33.21,28.59,47.2,36.47
2025-08-01 01:20:19 AM,57.28,red,-21.6,20.41,10.1,55.39
2025-08-01 01:21:09 AM,57.26,red,-18.99,26.48,33.63,53.7
2025-08-01 01:22:09 AM,57.24,red,-25.17,-24.44,25.59,16.4
2025-08-01 01:23:09 AM,57.22,red,-22.69,-41.3,56.2,6.67
2025-08-01 01:24:18 AM,57.2,red,17.06,3.43,10.36,5.61
2025-08-01 01:25:19 AM,57.18,red,11.12,25.91,-42.17,-37.63
2025-08-01 01:26:19 AM,57.16,red,56.7,-25.18,-12.06,-20.85
2025-08-01 01:27:19 AM,57.14,red,31.62,24.23,-18.43,-12.69
2025-08-01 01:28:00 AM,57.12,red,36.83,53.78,-2.46,30.71
2025-08-01 01:29:00 AM,57.1,red,34.49,-33.12,-23.25,15.4
2025-08-01 01:30:00 AM,57.08,red,-20.84,9.22,26.47,36.65
2025-08-01 01:31:01 AM,57.1,red,16.72,36.81,-34.9,47.63
2025-08-01 01:32:08 AM,57.14,red,50.9,55.06,49.18,-29.48
2025-08-01 01:33:08 AM,57.19,red,-2.01,-6.7,-22.24,-29.57
2025-08-01 01:34:09 AM,57.24,red,-27.68,46.88,17.42,-41.34
2025-08-01 01:35:09 AM,57.26,red,-0.48,49.55,34.31,-17.47
2025-08-01 05:13:58 PM,62.76,red,-32.46,-31.99,-9.64,-8.89
2025-08-01 05:14:20 PM,62.78,red,9.45,-4.86,44.64,19.81
2025-08-01 05:15:00 PM,62.76,red,-14.26,32.34,26.89,53.27
2025-08-01 05:16:01 PM,62.74,red,4.49,5.62,-19.27,11.98
2025-08-01 05:16:19 PM,62.74,red,4.49,5.62,-19.27,11.98
2025-08-01 05:17:08 PM,62.72,red,-20.73,56.43,-27.85,18.59
2025-08-01 05:18:08 PM,62.7,red,-10.59,-0.28,13.74,54.4
2025-08-01 05:18:59 PM,62.69,red,3.21,57.1,4.96,-5.44
2025-08-01 05:19:09 PM,62.68,red,-6.6,3.3,-20.2,37.26
2025-08-01 05:20:08 PM,62.66,red,32.21,-30.81,36.59,-18.05
2025-08-01 05:21:09 PM,62.7,red,5.62,-33.48,-24.36,-27.83
2025-08-01 05:22:18 PM,62.74,red,35.77,53.39,-19.23,53.83
2025-08-01 05:28:10 PM,62.95,red,30.61,42.27,51.26,19.65
2025-08-01 05:29:10 PM,62.99,red,-1.25,57.97,-5.19,5.96
2025-08-01 05:30:11 PM,63.03,red,-31.65,-2.34,-31.11,-7.33
2025-08-01 05:32:30 PM,62.99,red,32.49,20.3,55.61,5.32
2025-08-01 05:33:10 PM,62.97,red,2.51,13.28,44.24,-26.18
2025-08-01 05:34:00 PM,62.95,red,55.38,59.97,26.39,23.62
2025-08-01 05:35:19 PM,62.93,red,29.87,48.81,33.67,18.91
2025-08-01 05:36:00 PM,62.98,red,-12.35,44.56,54.8,28.32
2025-08-01 05:37:00 PM,63.01,red,31.69,50.48,14.36,36.29
2025-08-01 05:38:00 PM,63.06,red,39.17,15.75,39.77,-23.54
2025-08-01 05:39:08 PM,63.1,red,-6.44,62.1,8.7,50.96
2025-08-01 05:40:09 PM,63.14,red,47.13,-32.83,-20.22,8.5
2025-08-01 05:41:09 PM,63.12,red,50.74,13.36,-31.66,7.22
2025-08-01 05:42:10 PM,63.1,red,-11.86,7.16,38.28,61.75
2025-08-01 05:43:00 PM,63.08,red,5.56,40.5,21.01,35.38
2025-08-01 05:44:01 PM,63.06,red,-16.09,51.26,0.0,23.07
2025-08-01 05:45:08 PM,63.04,red,18.8,23.42,-9.28,-12.64
2025-08-01 05:46:09 PM,63.02,red,60.32,38.1,57.0,36.83
2025-08-01 05:47:09 PM,63.0,red,39.38,-22.81,39.11,39.09
2025-08-01 05:48:00 PM,62.98,red,-30.89,59.65,-17.27,50.76
2025-08-01 05:49:00 PM,62.96,red,49.7,47.24,9.48,34.82
2025-08-01 05:50:08 PM,62.94,red,-12.13,29.35,62.66,-20.94
2025-08-01 05:51:02 PM,62.98,red,-9.81,-12.05,22.47,35.7
2025-08-01 05:52:08 PM,63.02,red,-27.96,16.09,61.19,-19.09
2025-08-01 05:53:09 PM,63.04,red,30.12,-29.52,-15.64,33.81
2025-08-01 05:54:09 PM,63.06,red,-29.48,48.33,3.36,34.61
2025-08-01 05:55:09 PM,63.1,red,33.52,47.46,25.41,45.75
2025-08-01 05:56:00 PM,63.08,red,-36.56,37.37,-35.47,38.15
2025-08-01 05:57:01 PM,63.06,red,-23.39,61.65,-20.71,-5.65
2025-08-01 05:58:01 PM,63.04,red,-15.29,25.08,55.84,24.4
2025-08-01 05:59:08 PM,63.02,red,16.34,-8.67,15.48,21.02
2025-08-01 06:00:19 PM,63.0,red,3.01,6.79,-1.65,-6.64
