timestamp,jackpot_meter,color,10m,1h,3h,6h
2025-07-28 07:11:38 PM,83.23,red,24.34,67.84,6.24,-9.94
2025-07-28 07:12:19 PM,83.21,red,1.44,-3.2,36.4,30.87
2025-07-28 07:13:09 PM,83.19,red,66.0,63.27,11.23,58.1
2025-07-28 07:14:00 PM,83.17,red,13.23,62.25,-12.8,24.1
2025-07-28 07:15:09 PM,83.21,red,10.27,34.82,-4.95,79.42
2025-07-28 07:16:01 PM,83.25,red,27.55,5.0,4.13,48.02
2025-07-28 07:17:08 PM,83.28,red,36.01,51.14,3.58,46.34
2025-07-28 07:18:09 PM,83.31,red,16.98,32.37,2.0,82.06
2025-07-28 07:19:10 PM,83.37,red,52.57,28.82,53.55,47.06
2025-07-28 07:20:10 PM,83.39,red,35.14,39.71,61.52,61.1
2025-07-28 07:21:01 PM,83.42,red,54.79,24.71,28.88,23.41
2025-07-28 07:22:08 PM,83.46,red,60.75,25.41,62.35,-4.65
2025-07-28 07:23:09 PM,83.5,red,14.96,16.82,18.33,5.22
2025-07-28 07:24:00 PM,83.54,red,65.14,-10.73,19.92,47.26
2025-07-28 07:25:09 PM,83.56,red,67.96,42.36,65.87,-11.57
2025-07-28 07:26:02 PM,83.6,red,17.95,79.51,75.57,67.6
2025-07-28 07:27:09 PM,83.64,red,5.39,21.31,80.7,63.52
2025-07-28 07:28:09 PM,83.67,red,47.03,65.68,44.41,54.33
2025-07-28 07:29:00 PM,83.71,red,53.44,0.08,2.73,-11.02
2025-07-28 07:30:00 PM,83.74,red,43.58,55.19,19.97,40.62
2025-07-28 07:31:00 PM,83.79,red,66.71,13.06,2.44,15.73
2025-07-28 07:32:01 PM,83.78,red,81.85,72.95,39.33,71.22
2025-07-28 07:33:11 PM,83.81,red,9.78,-13.61,20.19,14.82
2025-07-28 07:34:09 PM,83.86,red,28.82,31.97,63.59,69.62
2025-07-28 07:35:01 PM,83.86,red,60.97,36.3,77.07,18.56
2025-07-28 07:36:09 PM,83.88,red,-4.11,62.64,-13.44,16.95
2025-07-28 07:37:09 PM,83.93,red,0.73,19.59,58.44,80.51
2025-07-30 07:33:08 AM,91.01,red,45.73,6.14,69.64,37.61
2025-07-30 07:34:08 AM,90.99,red,29.52,33.27,58.3,42.2
2025-07-30 07:50:19 AM,90.89,red,75.07,27.35,62.92,70.79
