timestamp,jackpot_meter,color,10m,1h,3h,6h
2025-09-08 05:48:08 AM,51.51,green,-38.37,-6.76,-19.02,-6.79
2025-09-08 05:48:09 AM,53.09,green,29.25,-31.54,39.75,-43.41
2025-09-08 05:48:20 AM,52.97,red,-28.17,3.24,26.49,-11.73
2025-09-08 05:48:30 AM,53.44,green,-10.63,13.92,-41.55,8.76
2025-09-08 05:48:40 AM,54.4,green,-43.99,44.64,-23.58,52.51
2025-09-08 05:56:00 AM,91.98,green,80.39,52.34,89.24,83.4
2025-09-08 05:56:00 AM,91.76,red,88.41,0.19,62.65,-0.49
2025-09-08 05:56:10 AM,91.46,red,10.43,26.44,66.59,22.03
2025-09-08 05:56:20 AM,92.34,green,43.17,72.57,53.99,26.57
2025-09-08 05:56:30 AM,93.03,green,45.92,82.96,42.55,77.61
2025-09-08 05:56:40 AM,94.84,green,53.02,93.26,31.77,0.97
2025-09-08 05:56:50 AM,94.9,green,54.62,66.83,49.35,50.54
2025-09-08 05:57:00 AM,96.87,green,46.64,15.39,22.75,36.62
2025-09-08 05:57:10 AM,96.93,green,40.09,71.87,12.23,53.4
2025-09-08 06:50:40 AM,83.95,green,-3.15,83.25,22.23,3.39
2025-09-08 06:50:50 AM,85.7,green,68.54,72.16,-2.14,15.23
2025-09-08 06:51:00 AM,87.77,green,85.97,35.11,28.91,1.4
2025-09-08 06:51:10 AM,89.88,green,64.47,-8.85,0.45,80.18
2025-09-08 06:51:20 AM,90.6,green,41.33,26.81,47.55,44.76
2025-09-08 06:51:30 AM,91.25,green,16.05,87.31,4.02,2.92
2025-09-08 06:51:40 AM,91.82,green,84.59,52.46,3.89,35.41
2025-09-08 06:51:50 AM,92.74,green,59.03,50.55,28.85,45.16
2025-09-08 06:52:00 AM,95.07,green,39.17,22.77,45.21,73.8
2025-09-08 06:52:10 AM,96.41,green,46.31,23.43,60.17,36.51
2025-09-08 06:52:20 AM,98.74,green,89.7,46.01,47.5,7.9
2025-09-08 06:52:30 AM,100,green,30.88,49.8,85.78,2.96
2025-09-08 06:52:40 AM,30.74,red,-26.01,-59.97,-5.3,-62.5
2025-09-08 06:52:50 AM,31.33,green,-65.57,-17.13,16.09,-43.17
2025-09-08 06:53:00 AM,33.83,green,-13.66,-3.14,-33.72,-29.16
2025-09-08 06:53:10 AM,34.83,green,-5.98,-56.59,-61.36,-30.93
2025-09-08 06:53:20 AM,35.73,green,-57.3,-43.96,24.85,-16.55
2025-09-08 06:53:30 AM,36.35,green,14.5,-18.72,-48.18,-46.7
2025-09-08 06:53:40 AM,38.28,green,-9.66,-10.42,-15.9,-22.64
2025-09-08 06:53:50 AM,39.89,green,-54.58,20.84,-44.12,27.74
2025-09-08 06:54:00 AM,41.65,green,-32.61,-55.54,-37.42,37.32
2025-09-08 06:54:10 AM,43.1,green,-27.7,8.18,25.13,42.01
2025-09-08 06:55:40 AM,56.8,green,27.84,-40.28,-33.75,42.72
2025-09-08 06:55:50 AM,58.14,green,31.81,-1.61,34.58,-26.33
2025-09-08 06:56:00 AM,59.24,green,-37.67,-18.72,-16.78,46.35
2025-09-08 06:56:10 AM,60.28,green,-17.8,32.17,-8.47,42.78
2025-09-08 06:56:20 AM,60.98,green,-3.68,54.04,25.2,5.42
2025-09-08 07:16:10 AM,11.85,red,-34.38,-38.91,-38.49,-81.37
2025-09-08 07:16:10 AM,11.16,red,0.19,-54.06,-39.8,-0.48
