timestamp,jackpot_meter,color,10m,1h,3h,6h
2025-07-28 11:02:48 PM,59.74,red,53.26,-32.21,-23.88,39.94
2025-07-28 11:03:08 PM,59.76,red,26.45,45.14,57.59,52.12
2025-07-28 11:04:08 PM,59.79,red,7.31,-16.08,38.83,6.08
2025-07-28 11:05:09 PM,59.84,red,-33.33,-23.18,-25.04,1.1
2025-07-28 11:06:09 PM,59.82,red,42.66,47.85,56.41,-18.91
2025-07-31 07:14:38 PM,81.96,red,40.19,-14.97,18.26,35.49
2025-07-31 07:15:09 PM,81.94,red,5.46,13.85,63.65,-17.85
2025-07-31 07:16:09 PM,81.92,red,1.44,6.98,46.45,4.88
2025-07-31 07:17:00 PM,81.9,red,-6.01,7.59,67.96,16.6
2025-07-31 07:17:08 PM,81.92,red,1.44,6.98,46.45,4.88
2025-07-31 07:17:10 PM,81.9,red,-6.01,7.59,67.96,16.6
2025-07-31 07:18:02 PM,81.88,red,32.37,70.48,35.84,23.56
2025-07-31 07:18:09 PM,81.9,red,-6.01,7.59,67.96,16.6
2025-07-31 07:18:19 PM,81.88,red,32.37,70.48,35.84,23.56
2025-07-31 07:19:08 PM,81.86,red,2.71,47.07,-0.27,-2.49
2025-07-31 07:20:10 PM,81.84,red,50.28,22.07,5.94,27.19
2025-07-31 07:21:20 PM,81.82,red,2.58,44.12,26.07,-6.88
2025-07-31 07:22:10 PM,81.8,red,8.72,2.92,12.04,19.75
2025-07-31 07:23:10 PM,81.78,red,63.8,27.37,-5.38,36.36
2025-07-31 07:24:10 PM,81.76,red,74.21,75.64,71.41,59.81
2025-07-31 07:25:00 PM,81.74,red,-14.84,81.26,15.23,56.68
2025-07-31 07:26:00 PM,81.72,red,36.1,23.25,26.0,47.93
2025-07-31 07:27:09 PM,81.7,red,34.75,0.36,20.46,63.03
2025-07-31 07:28:20 PM,81.68,red,-0.03,80.37,36.25,73.26
2025-07-31 07:29:19 PM,81.66,red,36.68,-2.21,25.6,8.03
2025-07-31 07:30:09 PM,81.64,red,43.87,29.19,-1.14,-3.62
